,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
64,2014 HQ124,Aten Asteroid (Hazard),57800.0,0.8508,0.2592,26.3699,144.4916,257.5658,30.8027,0.6303,1.07,0.78,0.0081,43.0,18.9,1901-Jun-07 13:03 ±    00:02,0.01529,0.01522,14.2,14.19,18.9,0.395,2.0,True
65,2003 WR21,Apollo Asteroid (Hazard),57800.0,1.1188,0.2615,9.274,107.9904,85.8799,310.1574,0.8263,1.41,1.18,0.0293,67.0,19.6,1901-Jun-26 20:27 ± < 00:01,0.03088,0.03088,9.29,9.28,19.6,0.489,2.0,True
66,2011 OB,Aten Asteroid (Hazard),57800.0,0.9039,0.5241,27.7442,48.8836,106.2649,255.065,0.4302,1.38,0.86,0.0096,16.0,19.3,1901-Jul-09 07:04 ±    00:13,0.01516,0.01488,20.2,20.19,19.3,0.82,2.0,True
67,2012 OD1,Aten Asteroid (Hazard),57800.0,0.8289,0.5025,42.2734,224.374,303.7516,133.5508,0.4123,1.25,0.75,0.0375,74.0,18.6,1901-Jul-27 19:35 ± < 00:01,0.03721,0.03721,23.65,23.65,18.5,0.43799999999999994,2.0,True
73,2006 BE55,Apollo Asteroid (Hazard),57800.0,1.1958,0.4245,2.4247,125.9269,125.7043,94.6259,0.6882,1.7,1.31,0.0237,22.0,21.9,1901-Sep-06 11:16 ±    00:04,0.02482,0.02482,13.27,13.26,21.9,0.25,1.0,True
74,2003 UX34,Apollo Asteroid (Hazard),57800.0,1.0951,0.6159,2.5646,218.4876,4.376,353.145,0.4207,1.77,1.15,0.0152,53.0,20.1,1901-Sep-07 12:24 ± < 00:01,0.0282,0.02819,20.71,20.7,20.2,0.54,2.0,True
77,2015 CX12,Apollo Asteroid (Hazard),57800.0,2.0018,0.6107,5.7578,227.0629,196.2097,275.732,0.7793,3.22,2.83,0.0313,20.0,20.0,1901-Sep-18 09:27 ±    00:03,0.04454,0.04453,15.71,15.71,20.0,0.23099999999999998,1.0,True
82,1993 VD,Aten Asteroid (Hazard),57800.0,0.8761,0.5514,2.0598,253.7688,2.6159,239.4896,0.3931,1.36,0.82,0.0169,29.0,21.5,1901-Oct-23 09:18 ± < 00:01,0.0239,0.02388,16.31,16.3,21.5,0.3,1.0,True
86,2008 WM64,Apollo Asteroid (Hazard),57800.0,1.005,0.107,33.5242,256.5111,91.4728,148.676,0.8975,1.11,1.01,0.035,37.0,20.7,1901-Dec-22 02:37 ± < 00:01,0.03774,0.03774,17.4,17.39,20.5,0.48,1.0,True
88,2013 CW32,Aten Asteroid (Hazard),57800.0,0.9046,0.3786,26.0535,228.8524,132.1158,351.3453,0.5621,1.25,0.86,0.0351,12.0,21.9,1902-Jan-29 05:18 ± < 00:01,0.03623,0.03623,16.56,16.55,22.1,0.23,1.0,True
89,2009 BE58,Aten Asteroid (Hazard),57800.0,0.937,0.5596,1.8634,120.9323,149.5344,240.1419,0.4127,1.46,0.91,0.0042,19.0,21.8,1902-Feb-10 22:44 ±    00:03,0.02585,0.02576,16.89,16.88,21.7,0.27,1.0,True
97,2001 FC58,Apollo Asteroid (Hazard),57800.0,1.0204,0.3433,6.7735,261.1836,174.6416,230.2943,0.6701,1.37,1.03,0.0146,30.0,20.4,1902-Mar-22 04:21 ±    03:26,0.01429,0.0127,10.78,10.77,20.4,0.49,2.0,True
103,2008 AG33,Apollo Asteroid (Hazard),57800.0,1.4607,0.3374,16.0012,155.6095,38.3521,32.3637,0.9678,1.95,1.77,0.0159,20.0,19.6,1902-Apr-25 12:46 ±    00:12,0.03636,0.0363,10.25,10.24,19.4,0.79,1.0,True
105,2007 VD12,Apollo Asteroid (Hazard),57800.0,1.1459,0.3648,22.8586,91.2885,62.7205,138.3557,0.7279,1.56,1.23,0.0111,35.0,20.0,1902-May-25 18:38 ± < 00:01,0.01611,0.01611,15.89,15.88,19.9,0.62,2.0,True
111,2008 HB38,Apollo Asteroid (Hazard),57800.0,1.8538,0.4924,1.0211,209.52,102.6826,139.6673,0.9409,2.77,2.52,0.003,50.0,21.2,1902-Sep-09 22:52 ±    00:05,0.01609,0.01608,9.54,9.53,21.2,0.34,2.0,True
112,2001 QL142,Apollo Asteroid (Hazard),57800.0,1.0492,0.499,26.6143,72.0759,165.5992,220.3548,0.5257,1.57,1.07,0.0472,74.0,17.8,1902-Sep-12 04:33 ± < 00:01,0.0461,0.0461,20.41,20.4,17.8,0.827,2.0,True
116,1991 GO,Apollo Asteroid (Hazard),57800.0,1.926,0.6542,9.5557,89.5925,24.1489,262.3127,0.666,3.19,2.67,0.0255,24.0,20.0,1902-Oct-26 07:48 ±    00:01,0.02029,0.02028,18.22,18.21,20.0,0.59,2.0,True
120,2014 WT202,Aten Asteroid (Hazard),57800.0,0.9656,0.0631,23.3928,185.6537,58.826,306.2504,0.9047,1.03,0.95,0.039,8.0,21.1,1902-Nov-20 21:11 ±    00:01,0.04785,0.04769,12.07,12.07,21.1,0.36,1.0,True
