,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,PHA
1483,2007 NS4,Apollo Asteroid (Hazard),57800.0,1.8743,0.598,5.8019,47.2339,11.2222,218.3337,0.7535,3.0,2.57,0.0396,29.0,19.1,1948-Sep-12 05:45 ± < 00:01,0.045,0.045,14.93,14.93,19.2,0.87,1.0,True
1486,2014 EQ49,Apollo Asteroid (Hazard),57800.0,1.1479,0.2068,15.1773,50.4974,11.5348,202.5989,0.9106,1.39,1.23,0.0252,8.0,21.8,1948-Oct-04 03:48 ± < 00:01,0.03447,0.03446,9.15,9.14,21.8,0.508,1.0,True
1487,2006 TS7,Aten Asteroid (Hazard),57800.0,0.9469,0.5802,5.4714,299.903,225.2633,355.1874,0.3975,1.5,0.92,0.0152,35.0,21.2,1948-Oct-29 15:50 ± < 00:01,0.02751,0.0275,17.13,17.12,21.3,0.33,1.0,True
1491,2008 WZ94,Apollo Asteroid (Hazard),57800.0,1.5226,0.7739,6.5279,320.9266,248.9424,88.6579,0.3443,2.7,1.88,0.041,18.0,20.2,1948-Dec-20 07:40 ± < 00:01,0.04442,0.04441,27.31,27.31,20.2,0.53,1.0,True
1493,2007 YU56,Amor Asteroid (Hazard),57800.0,2.3704,0.5695,13.2299,163.189,282.9921,184.7536,1.0206,3.72,3.65,0.0496,9.0,22.0,1948-Dec-30 06:32 ± < 00:01,0.04862,0.04862,10.37,10.36,22.1,0.23,1.0,True
1499,2008 EL6,Apollo Asteroid (Hazard),57800.0,1.7284,0.4804,13.1452,38.2921,177.7121,319.7045,0.8982,2.56,2.27,0.0206,16.0,21.0,1949-Mar-18 11:47 ± < 00:01,0.03916,0.03915,11.92,11.91,21.0,0.38,1.0,True
1501,2012 FG58,Apollo Asteroid (Hazard),57800.0,2.1482,0.5462,13.5171,220.4837,32.8665,181.4412,0.9748,3.32,3.15,0.0405,19.0,22.0,1949-May-02 16:06 ±    00:10,0.04306,0.04302,11.87,11.86,22.0,0.24,1.0,True
1502,2010 KX7,Aten Asteroid (Hazard),57800.0,0.9899,0.171,21.4863,61.8513,46.5121,48.3197,0.8206,1.16,0.98,0.0334,25.0,21.9,1949-May-05 02:31 ± < 00:01,0.04362,0.04359,11.36,11.35,21.9,0.23099999999999998,1.0,True
1504,1989 JA,Apollo Asteroid (Hazard),57800.0,1.7706,0.4841,15.1949,232.2494,61.3308,258.2099,0.9134,2.63,2.36,0.022,73.0,17.0,1949-May-22 22:05 ± < 00:01,0.03641,0.03641,14.23,14.22,17.7,1.8,2.0,True
1506,2011 UW158,Apollo Asteroid (Hazard),57800.0,1.6204,0.3762,4.5717,8.7433,286.0083,276.5118,1.0109,2.23,2.06,0.0017,134.0,19.9,1949-Jul-30 05:08 ±    01:29,0.03101,0.03091,6.33,6.31,20.0,0.6,1.0,True
1507,2012 AD3,Apollo Asteroid (Hazard),57800.0,2.1975,0.6057,5.2196,216.0408,149.8348,239.6838,0.8666,3.53,3.26,0.0244,16.0,19.7,1949-Aug-12 01:36 ±    02:17,0.04769,0.04725,12.19,12.19,19.7,0.68,1.0,True
1517,2001 FO32,Apollo Asteroid (Hazard),57800.0,1.7012,0.8259,38.9619,123.2754,181.7859,37.2572,0.2961,3.11,2.22,0.0034,51.0,17.7,1950-Mar-23 14:42 ± < 00:01,0.03321,0.03321,33.35,33.35,17.6,0.66,2.0,True
1524,2002 LT38,Aten Asteroid (Hazard),57800.0,0.8451,0.3138,6.1955,162.7218,259.4169,168.5342,0.5799,1.11,0.78,0.0346,69.0,20.5,1950-Jun-22 22:10 ± < 00:01,0.04932,0.04932,6.99,6.98,20.6,0.45,1.0,True
1525,2001 FE90,Apollo Asteroid (Hazard),57800.0,1.9346,0.4946,8.7916,145.0745,98.5483,311.7872,0.9778,2.89,2.69,0.0148,53.0,20.7,1950-Jul-02 12:08 ± < 00:01,0.04412,0.04412,10.86,10.86,20.7,0.43,1.0,True
1527,2002 RW25,Aten Asteroid (Hazard),57800.0,0.8255,0.2866,1.3269,71.5969,92.0567,309.849,0.5889,1.06,0.75,0.016,32.0,18.8,1950-Aug-04 06:32 ± < 00:01,0.04683,0.04683,7.67,7.66,18.9,0.98,1.0,True
1528,2016 CU193,Apollo Asteroid (Hazard),57800.0,1.4725,0.3562,49.8838,323.1026,322.3953,96.6543,0.948,2.0,1.79,0.011,20.0,19.9,1950-Aug-16 23:01 ±    00:12,0.03678,0.03661,27.84,27.84,19.9,0.62,1.0,True
1530,2012 FR1,Apollo Asteroid (Hazard),57800.0,2.1761,0.712,13.3037,86.2365,355.4792,218.9212,0.6268,3.73,3.21,0.007,19.0,19.1,1950-Sep-23 07:23 ±    00:18,0.0367,0.03651,19.92,19.92,19.1,0.9,2.0,True
1535,2014 DN112,Apollo Asteroid (Hazard),57800.0,1.8496,0.4938,4.2946,145.7577,260.2936,125.9083,0.9363,2.76,2.52,0.0033,21.0,20.1,1950-Dec-12 07:43 ±    00:05,0.01201,0.012,9.48,9.45,20.0,0.59,2.0,True
1538,2013 AN20,Amor Asteroid (Hazard),57800.0,1.4646,0.3049,23.0691,355.7808,105.3728,115.3035,1.0181,1.91,1.77,0.0358,14.0,21.8,1951-Jan-06 04:18 ±    00:07,0.03594,0.03593,13.25,13.24,21.8,0.26,1.0,True
1539,2002 WQ4,Apollo Asteroid (Hazard),55766.0,1.9587,0.5548,3.944,244.3801,267.1477,22.7754,0.8719,3.05,2.74,0.0197,64.0,19.6,1951-Jan-06 07:10 ± < 00:01,0.02851,0.02851,11.23,11.23,19.7,0.69,2.0,True
1544,2009 EP2,Aten Asteroid (Hazard),57800.0,0.9269,0.3561,27.7074,129.8426,175.1872,223.3256,0.5968,1.26,0.89,0.0416,17.0,21.6,1951-Mar-18 22:20 ± < 00:01,0.04182,0.04182,17.24,17.24,21.6,0.28,1.0,True
1549,1999 XL136,Apollo Asteroid (Hazard),57800.0,1.8179,0.6478,8.9101,275.0351,270.3984,342.8202,0.6403,3.0,2.45,0.0043,31.0,19.6,1951-Jun-22 20:39 ± < 00:01,0.00785,0.00784,18.99,18.97,19.7,0.69,3.0,True
1550,2010 MF1,Amor Asteroid (Hazard),57800.0,2.4989,0.5886,9.1047,27.7719,287.0486,234.1658,1.028,3.97,3.95,0.0418,110.0,19.6,1951-Jul-19 01:22 ± < 00:01,0.02851,0.0285,9.99,9.98,19.7,0.366,2.0,True
1554,2010 XY72,Apollo Asteroid (Hazard),57800.0,1.1333,0.2289,31.4835,307.0459,34.4451,82.6536,0.8739,1.39,1.21,0.0465,31.0,18.6,1951-Oct-29 03:27 ± < 00:01,0.04813,0.04813,18.0,18.0,18.7,0.66,1.0,True
1555,2010 TU149,Apollo Asteroid (Hazard),57800.0,2.2014,0.8284,1.9715,91.7143,59.7151,321.5035,0.3779,4.03,3.27,0.0115,25.0,20.7,1951-Nov-02 21:43 ±    00:07,0.02217,0.0221,27.15,27.14,20.7,0.798,2.0,True
1557,2015 UK52,Apollo Asteroid (Hazard),57800.0,1.5556,0.3689,20.9545,216.7333,239.1515,207.031,0.9817,2.13,1.94,0.0459,64.0,20.1,1951-Nov-25 07:46 ±    00:05,0.04743,0.04741,12.86,12.86,20.1,0.275,1.0,True
1558,2002 AV,Apollo Asteroid (Hazard),57800.0,2.4654,0.6608,2.8424,285.5653,124.0277,336.5844,0.8364,4.09,3.87,0.019,29.0,20.9,1952-Jan-02 10:55 ±    00:03,0.02132,0.02132,14.19,14.18,20.9,0.39,2.0,True
1559,2012 XD112,Apollo Asteroid (Hazard),57800.0,1.3231,0.3658,3.7185,76.7106,97.8769,221.2662,0.8391,1.81,1.52,0.0147,58.0,21.2,1952-Jan-12 14:25 ± < 00:01,0.01915,0.01914,9.25,9.23,21.2,0.35,2.0,True
1562,2007 RU9,Apollo Asteroid (Hazard),57800.0,1.9187,0.6296,5.6431,285.9599,164.3382,167.3071,0.7106,3.13,2.66,0.0009,39.0,20.8,1952-Mar-01 14:11 ± < 00:01,0.03951,0.03951,15.67,15.66,20.7,0.43,1.0,True
1565,2010 AF30,Apollo Asteroid (Hazard),57800.0,1.3246,0.3716,3.0591,162.7783,62.4319,161.4021,0.8324,1.82,1.52,0.0431,24.0,21.7,1952-Jul-17 02:54 ± < 00:01,0.04299,0.04299,10.24,10.24,21.7,0.27,1.0,True
1566,2011 AM12,Apollo Asteroid (Hazard),57800.0,1.8545,0.5375,38.5063,237.6881,124.8249,186.8943,0.8577,2.85,2.53,0.0085,25.0,19.5,1952-Jul-27 18:30 ±    00:01,0.01326,0.01325,24.16,24.15,19.5,0.76,2.0,True
1568,2007 TA19,Aten Asteroid (Hazard),57800.0,0.9541,0.5095,22.6302,58.0189,181.2118,94.8035,0.468,1.44,0.93,0.0188,32.0,19.4,1952-Sep-25 22:41 ± < 00:01,0.01849,0.01849,19.17,19.16,19.4,0.693,2.0,True
1572,2004 XL35,Apollo Asteroid (Hazard),57800.0,1.3554,0.2785,27.2994,356.1383,73.7764,262.0615,0.978,1.73,1.58,0.0063,33.0,19.5,1952-Dec-03 06:40 ±    00:04,0.03964,0.03959,15.62,15.62,19.6,0.7,1.0,True
1573,2016 NV,Apollo Asteroid (Hazard),57800.0,1.2659,0.2367,16.2905,145.0854,255.181,61.5701,0.9663,1.57,1.42,0.0149,42.0,19.8,1952-Dec-07 12:10 ±    00:05,0.02797,0.02792,10.29,10.28,19.9,0.63,2.0,True
1574,2014 QK434,Apollo Asteroid (Hazard),57800.0,1.9405,0.5036,5.9727,165.9208,252.3169,293.7,0.9632,2.92,2.7,0.0087,53.0,19.1,1952-Dec-09 19:43 ±    01:14,0.01039,0.01028,8.51,8.48,19.3,0.309,3.0,True
1575,2015 AR45,Apollo Asteroid (Hazard),57800.0,1.3852,0.7015,9.2348,239.5415,114.4481,145.3966,0.4135,2.36,1.63,0.0177,19.0,19.8,1953-Jan-09 18:07 ±    00:01,0.04621,0.0462,24.86,24.86,19.8,0.65,1.0,True
1579,2008 EE5,Aten Asteroid (Hazard),57800.0,0.9447,0.0716,44.8108,20.0738,321.2797,57.2,0.877,1.01,0.92,0.0208,29.0,19.7,1953-Feb-09 11:15 ± < 00:01,0.02423,0.02423,22.47,22.47,19.7,0.68,2.0,True
1593,2001 XU30,Apollo Asteroid (Hazard),57800.0,2.1926,0.6675,8.9141,106.585,72.4734,218.7455,0.729,3.66,3.25,0.002,28.0,19.8,1953-Jun-03 18:59 ± < 00:01,0.04111,0.04111,18.77,18.77,20.0,0.6,1.0,True
1594,2011 MU,Apollo Asteroid (Hazard),57800.0,1.349,0.665,7.2892,281.7883,100.071,178.4634,0.4519,2.25,1.57,0.0246,12.0,20.2,1953-Jun-21 11:52 ±    00:03,0.03887,0.03884,20.96,20.96,20.3,0.51,1.0,True
1596,2006 CF,Apollo Asteroid (Hazard),57800.0,2.2908,0.6818,4.6594,267.7627,112.7931,100.7591,0.7288,3.85,3.47,0.0219,31.0,20.3,1953-Jul-31 06:19 ± < 00:01,0.02078,0.02078,17.39,17.39,20.3,0.52,2.0,True
1597,2000 EA14,Apollo Asteroid (Hazard),57800.0,1.117,0.2026,3.5555,205.9949,203.8681,221.7982,0.8906,1.34,1.18,0.0432,46.0,21.1,1953-Sep-03 23:37 ±    00:02,0.04439,0.04439,5.43,5.42,21.2,0.35,1.0,True
1601,2015 DV215,Apollo Asteroid (Hazard),57800.0,1.5384,0.4025,13.2065,41.2691,13.9816,66.7931,0.9192,2.16,1.91,0.0067,12.0,20.4,1953-Oct-11 15:54 ± < 00:01,0.04302,0.04302,10.03,10.02,20.5,0.48,1.0,True
1604,2007 AB2,Apollo Asteroid (Hazard),57800.0,1.9173,0.5462,1.4591,280.5953,127.1137,307.2567,0.87,2.96,2.65,0.0132,67.0,20.3,1953-Dec-25 20:45 ±    00:02,0.01447,0.01447,11.37,11.36,20.3,0.51,2.0,True
1606,2014 YR15,Aten Asteroid (Hazard),57800.0,0.7497,0.4092,5.7122,308.9293,320.6008,306.9243,0.4429,1.06,0.65,0.0384,20.0,21.5,1954-Jan-17 14:09 ±    00:08,0.04346,0.04343,9.55,9.54,21.5,0.3,1.0,True
1617,2002 FC,Apollo Asteroid (Hazard),57800.0,2.8375,0.6588,6.7849,194.9564,50.354,31.8407,0.968,4.71,4.78,0.0184,53.0,18.9,1954-May-24 14:01 ± < 00:01,0.04796,0.04796,10.28,10.27,19.2,0.88,1.0,True
1622,2011 CC22,Apollo Asteroid (Hazard),55599.0,1.1234,0.1143,34.9442,171.1554,130.3666,201.2475,0.995,1.25,1.19,0.0198,5.0,21.4,1954-Aug-01 19:00 ± < 00:01,0.03047,0.03047,18.34,18.34,21.0,0.38,1.0,True
1629,2001 TD45,Aten Asteroid (Hazard),57800.0,0.7968,0.7775,25.3976,212.4317,30.2825,279.3638,0.1773,1.42,0.71,0.0267,21.0,19.9,1954-Oct-26 20:22 ± < 00:01,0.02527,0.02527,26.28,26.28,19.9,0.63,2.0,True
1631,2016 XA2,Apollo Asteroid (Hazard),57735.0,2.056,0.7511,7.0257,276.3685,263.044,341.7269,0.5118,3.6,2.95,0.001,12.0,21.6,1954-Dec-19 08:43 ± 6_03:59,0.04477,0.00254,21.68,21.68,21.6,0.28,1.0,True
1638,2015 KJ122,Aten Asteroid (Hazard),57800.0,0.7853,0.7503,5.0691,229.6776,188.0005,13.3829,0.1961,1.37,0.7,0.0317,7.0,22.0,1955-Apr-19 13:55 ± < 00:01,0.04178,0.04177,22.63,22.63,22.0,0.24,1.0,True
1640,2005 JU1,Apollo Asteroid (Hazard),57800.0,2.3369,0.6857,6.0683,269.4639,33.0803,89.9933,0.7346,3.94,3.57,0.0338,24.0,21.6,1955-May-11 22:40 ±    00:05,0.02201,0.022,18.21,18.21,21.6,0.28,1.0,True
1645,2006 CU,Apollo Asteroid (Hazard),57800.0,1.5097,0.4538,3.7927,253.0784,148.8633,22.0893,0.8245,2.19,1.86,0.0087,12.0,21.7,1955-Aug-26 03:16 ±    00:01,0.0355,0.0355,12.4,12.39,22.0,0.24,1.0,True
1650,1998 MZ,Apollo Asteroid (Hazard),57800.0,1.3466,0.5732,0.1461,39.9011,121.6272,22.915,0.5748,2.12,1.56,0.0016,90.0,19.2,1955-Nov-27 07:08 ± < 00:01,0.03632,0.03632,16.41,16.4,19.3,0.81,2.0,True
1658,2007 VZ137,Apollo Asteroid (Hazard),57800.0,1.7042,0.5853,5.2182,63.7233,226.395,104.8017,0.7068,2.7,2.22,0.0232,11.0,21.6,1956-Apr-23 13:39 ±    00:27,0.0391,0.0389,16.03,16.03,21.6,0.28,1.0,True
1665,2005 WK4,Apollo Asteroid (Hazard),57800.0,1.0106,0.2374,9.8433,74.0561,138.1421,247.0243,0.7707,1.25,1.02,0.0042,88.0,20.1,1956-Aug-09 23:30 ± < 00:01,0.01867,0.01866,9.31,9.3,20.2,0.54,2.0,True
1666,2005 OE3,Apollo Asteroid (Hazard),57800.0,1.5667,0.4286,25.3732,58.3753,321.0759,288.8923,0.8952,2.24,1.96,0.0266,51.0,20.3,1956-Aug-13 17:29 ±    00:02,0.03992,0.0399,17.16,17.15,20.3,0.52,1.0,True
1670,1989 VB,Apollo Asteroid (Hazard),57800.0,1.863,0.4609,2.1319,329.92,38.8307,271.827,1.0044,2.72,2.54,0.0171,12.0,19.7,1956-Oct-13 02:40 ± < 00:01,0.01866,0.01865,6.65,6.63,20.0,0.4,2.0,True
1675,2005 EW169,Amor Asteroid (Hazard),57800.0,2.3817,0.5689,1.5059,221.8853,223.5757,122.0344,1.0268,3.74,3.68,0.0465,35.0,19.7,1956-Dec-17 17:17 ±    00:11,0.0498,0.04979,6.55,6.54,19.7,0.7,1.0,True
1679,1993 VB,Apollo Asteroid (Hazard),57800.0,1.9098,0.5192,5.078,323.0518,145.6768,271.5654,0.9182,2.9,2.64,0.0007,24.0,19.3,1957-Feb-19 10:26 ± < 00:01,0.03414,0.03414,10.8,10.79,19.3,0.83,2.0,True
1682,2002 FB3,Aten Asteroid (Hazard),57800.0,0.7615,0.6018,20.2774,148.3012,203.6058,277.0406,0.3033,1.22,0.66,0.0035,116.0,16.5,1957-Apr-12 08:10 ± < 00:01,0.03625,0.03624,19.63,19.62,16.5,1.6949999999999998,3.0,True
1703,2008 CH,Apollo Asteroid (Hazard),57800.0,2.3321,0.6893,22.1224,294.476,133.4533,206.1219,0.7245,3.94,3.56,0.0206,22.0,20.2,1958-Feb-07 01:33 ±    00:02,0.02435,0.02432,21.68,21.68,20.2,0.54,2.0,True
1714,2017 BP31,Apollo Asteroid (Hazard),57784.0,2.1219,0.6992,1.6098,202.5861,48.4817,337.1827,0.6382,3.61,3.09,0.0241,7.0,19.76,1958-Aug-26 07:03 ±    00:05,0.03144,0.03142,19.72,19.72,19.8,0.65,2.0,True
1715,1998 SH2,Apollo Asteroid (Hazard),57800.0,2.7445,0.7137,2.4037,268.3003,6.4856,52.3062,0.7858,4.7,4.55,0.0189,42.0,20.8,1958-Sep-07 10:27 ± < 00:01,0.03895,0.03895,19.48,19.48,20.8,0.44,1.0,True
1716,2013 GF69,Apollo Asteroid (Hazard),57800.0,1.9663,0.498,10.0095,153.1682,174.9175,76.2336,0.9871,2.95,2.76,0.0144,35.0,19.3,1958-Sep-17 16:41 ±    00:02,0.02407,0.02406,10.27,10.26,19.4,0.77,2.0,True
1721,2001 QC34,Apollo Asteroid (Hazard),57800.0,1.1283,0.1875,6.2356,215.3698,271.651,190.4564,0.9167,1.34,1.2,0.0285,90.0,20.1,1958-Dec-05 23:08 ±    00:01,0.0454,0.0454,6.12,6.11,20.2,0.54,1.0,True
1723,2003 MK4,Apollo Asteroid (Hazard),57800.0,1.0804,0.1813,22.3162,109.6039,282.6119,321.1453,0.8845,1.28,1.12,0.0018,35.0,20.9,1959-Jan-02 15:59 ±    00:01,0.01659,0.01657,12.68,12.67,20.9,0.39,2.0,True
1725,2000 DO1,Apollo Asteroid (Hazard),57800.0,1.43,0.6818,3.457,302.7076,335.8857,296.4211,0.4551,2.4,1.71,0.0135,41.0,20.2,1959-Mar-07 13:48 ±    00:02,0.04522,0.0452,24.0,24.0,20.5,0.47,1.0,True
1735,2014 YQ15,Aten Asteroid (Hazard),57800.0,0.9638,0.2359,10.9105,252.3084,81.8821,194.2121,0.7365,1.19,0.95,0.0021,42.0,21.2,1959-Dec-15 03:41 ±    00:06,0.00936,0.00917,9.46,9.43,21.1,0.36,2.0,True
1746,2000 KA,Apollo Asteroid (Hazard),57800.0,1.3324,0.4622,6.7009,83.1314,62.5676,358.9472,0.7165,1.95,1.54,0.0017,27.0,21.7,1960-May-14 10:31 ± < 00:01,0.0484,0.0484,14.71,14.7,21.7,0.27,1.0,True
1752,2001 DF47,Apollo Asteroid (Hazard),57800.0,1.2152,0.3708,18.4735,260.1976,146.6695,33.7236,0.7646,1.67,1.34,0.0174,20.0,20.2,1960-Aug-14 23:44 ± < 00:01,0.03947,0.03947,14.94,14.93,20.4,0.49,1.0,True
1756,6344 P-L,Apollo Asteroid (Hazard),57800.0,2.8043,0.6672,4.7249,234.126,183.5747,349.5302,0.9332,4.68,4.7,0.0288,16.0,20.4,1960-Oct-12 07:59 ± < 00:01,0.03929,0.03928,12.06,12.05,20.4,0.49,1.0,True
1766,2015 DU180,Apollo Asteroid (Hazard),57800.0,1.9266,0.9221,4.8518,315.3108,51.845,288.4207,0.1501,3.7,2.67,0.0081,10.0,20.8,1961-May-07 02:52 ±    05:17,0.01707,0.01388,35.18,35.18,20.8,0.609,2.0,True
1767,2006 HT30,Apollo Asteroid (Hazard),57800.0,2.5647,0.6175,1.6405,224.0505,73.6003,201.8234,0.9809,4.15,4.11,0.0096,23.0,20.2,1961-Jun-26 04:37 ±    00:02,0.04863,0.04862,10.19,10.18,20.2,0.54,1.0,True
1772,2009 ES,Apollo Asteroid (Hazard),57800.0,1.4352,0.3297,30.3371,311.2759,343.7419,116.9736,0.962,1.91,1.72,0.0402,38.0,20.6,1961-Sep-05 12:47 ±    00:01,0.0431,0.0431,17.94,17.94,20.7,0.43,1.0,True
1778,2010 DM,Apollo Asteroid (Hazard),57800.0,2.0806,0.8409,5.0287,220.6613,141.1198,169.5362,0.3311,3.83,3.0,0.0329,25.0,19.0,1962-Jan-20 01:59 ±    00:07,0.03707,0.03707,29.77,29.76,19.0,0.92,2.0,True
1781,2012 XO111,Apollo Asteroid (Hazard),57800.0,2.0041,0.4991,4.2825,189.8205,328.1464,138.714,1.0039,3.0,2.84,0.0171,21.0,21.2,1962-Feb-25 23:03 ±    02:22,0.01779,0.01771,6.82,6.8,21.2,0.35,2.0,True
1783,2005 EA,Apollo Asteroid (Hazard),57800.0,1.3013,0.6392,14.0566,298.8373,346.9234,327.6348,0.4694,2.13,1.48,0.0327,23.0,21.0,1962-Mar-16 03:03 ± < 00:01,0.04667,0.04666,21.09,21.09,20.9,0.39,1.0,True
1784,2013 FW13,Apollo Asteroid (Hazard),57800.0,1.1203,0.3619,23.4137,272.2858,175.8554,164.0064,0.7149,1.53,1.19,0.0119,16.0,21.7,1962-Mar-19 08:04 ± < 00:01,0.02724,0.02724,16.21,16.2,21.7,0.27,1.0,True
1787,2016 UZ25,Apollo Asteroid (Hazard),57800.0,2.4915,0.7948,3.815,114.3386,32.516,11.5496,0.5113,4.47,3.93,0.0216,18.0,21.6,1962-May-26 20:52 ± 1_11:54,0.03779,0.03542,25.08,25.07,21.6,0.19499999999999998,1.0,True
1793,2005 QC5,Aten Asteroid (Hazard),57800.0,0.8931,0.3645,9.4503,108.6875,48.1033,34.7384,0.5675,1.22,0.84,0.0473,29.0,19.8,1962-Oct-26 09:09 ± < 00:01,0.04904,0.04904,11.25,11.25,19.6,0.405,1.0,True
1795,2014 KP84,Apollo Asteroid (Hazard),57800.0,1.4886,0.3512,22.3456,29.3984,56.2485,298.5787,0.9659,2.01,1.82,0.0111,7.0,20.4,1962-Nov-17 17:21 ±    00:04,0.0246,0.02456,13.88,13.88,20.8,0.41,1.0,True
1806,2001 WN5,Apollo Asteroid (Hazard),57800.0,1.7119,0.467,1.9196,44.5627,277.5098,318.2237,0.9125,2.51,2.24,0.0015,97.0,18.3,1963-Sep-30 11:51 ± < 00:01,0.03525,0.03525,10.31,10.3,18.3,0.9430000000000001,2.0,True
1807,2003 TR9,Apollo Asteroid (Hazard),57800.0,1.6412,0.7014,13.4663,70.9929,198.4208,153.467,0.4901,2.79,2.1,0.0211,15.0,21.2,1963-Oct-08 05:28 ±    00:11,0.03796,0.03784,24.53,24.53,21.3,0.33,1.0,True
1813,2015 TY237,Apollo Asteroid (Hazard),57800.0,1.2194,0.4995,5.7287,119.1266,111.4038,87.0125,0.6104,1.83,1.35,0.0348,2.0,21.5,1964-Jan-30 14:21 ±    00:03,0.04709,0.04707,16.92,16.92,21.6,0.29,1.0,True
1818,2010 DA,Apollo Asteroid (Hazard),57800.0,1.0305,0.5656,20.5338,122.1945,162.3519,167.1056,0.4477,1.61,1.05,0.0053,30.0,20.3,1964-Mar-02 05:53 ± < 00:01,0.03002,0.03001,21.57,21.56,20.3,0.52,1.0,True
1820,2005 MO13,Aten Asteroid (Hazard),57800.0,0.8636,0.4107,6.3162,250.1349,176.6475,52.3992,0.5089,1.22,0.8,0.0429,31.0,20.7,1964-Apr-08 03:13 ± < 00:01,0.04956,0.04955,10.66,10.66,20.8,0.41,1.0,True
1822,2013 WT45,Apollo Asteroid (Hazard),57800.0,1.6299,0.467,9.3386,121.9674,33.117,158.371,0.8687,2.39,2.08,0.0078,40.0,20.3,1964-Apr-24 08:05 ± < 00:01,0.04345,0.04345,12.72,12.71,20.3,0.22899999999999998,1.0,True
1824,2006 KL21,Amor Asteroid (Hazard),57800.0,1.199,0.1274,9.3549,214.2547,117.2218,340.0357,1.0463,1.35,1.31,0.0489,50.0,20.9,1964-Jul-25 01:01 ± < 00:01,0.04853,0.04853,5.16,5.15,20.9,0.39,1.0,True
1825,2002 PF43,Amor Asteroid (Hazard),57800.0,1.6438,0.3661,13.8596,191.6158,142.777,316.1409,1.042,2.25,2.11,0.0354,18.0,20.6,1964-Aug-18 19:44 ±    00:02,0.0394,0.0394,8.91,8.91,20.9,0.4,1.0,True
1836,2010 HQ80,Apollo Asteroid (Hazard),57800.0,1.5681,0.4893,27.8521,66.2892,218.5024,114.38,0.8008,2.34,1.96,0.008,62.0,19.7,1965-Apr-29 21:07 ± < 00:01,0.02947,0.02946,19.33,19.33,19.6,0.867,2.0,True
1837,2006 UK,Apollo Asteroid (Hazard),57800.0,1.4924,0.5387,4.7305,252.2446,244.1051,184.5048,0.6885,2.3,1.82,0.014,48.0,20.2,1965-May-02 07:25 ± < 00:01,0.03688,0.03688,15.72,15.71,20.3,0.53,1.0,True
1838,2012 MU2,Apollo Asteroid (Hazard),57800.0,2.0551,0.514,11.2206,16.5791,250.3308,207.265,0.9988,3.11,2.95,0.0006,53.0,20.8,1965-May-27 00:58 ±    00:03,0.02113,0.02112,10.67,10.66,20.8,0.42,2.0,True
1839,2001 XR30,Apollo Asteroid (Hazard),57800.0,1.297,0.3653,11.8589,294.3983,247.912,37.8841,0.8232,1.77,1.48,0.0215,15.0,21.0,1965-May-31 09:53 ± < 00:01,0.0357,0.0357,10.84,10.84,21.2,0.34,1.0,True
1840,2005 YP180,Apollo Asteroid (Hazard),57800.0,1.3722,0.6173,4.1115,92.2779,289.0511,359.8252,0.5251,2.22,1.61,0.0165,46.0,19.3,1965-Jun-26 01:13 ± < 00:01,0.03506,0.03506,20.42,20.42,19.3,0.489,2.0,True
1845,2001 CV26,Apollo Asteroid (Hazard),57800.0,1.3195,0.3265,17.9982,48.6673,18.1778,281.5745,0.8887,1.75,1.52,0.0235,334.0,16.5,1965-Oct-11 10:33 ± < 00:01,0.03515,0.03515,11.84,11.84,16.6,1.036,3.0,True
1853,2013 LG16,Apollo Asteroid (Hazard),57800.0,1.6002,0.408,11.1519,209.4719,232.8291,103.3037,0.9474,2.25,2.02,0.0033,19.0,19.2,1965-Nov-21 08:06 ±    00:48,0.03758,0.03744,8.76,8.75,19.4,0.8,1.0,True
1860,1998 KN3,Apollo Asteroid (Hazard),57800.0,1.5417,0.8737,2.2962,70.7635,313.6961,247.5435,0.1948,2.89,1.91,0.018,48.0,18.5,1966-Mar-01 15:06 ± < 00:01,0.01975,0.01975,32.01,32.0,18.5,1.08,2.0,True
1862,2005 EK94,Amor Asteroid (Hazard),57800.0,1.9784,0.4796,14.1809,154.9084,103.0661,73.3484,1.0295,2.93,2.78,0.0403,36.0,19.3,1966-Jun-27 21:16 ±    00:01,0.04888,0.04888,10.21,10.21,19.3,0.82,1.0,True
1867,2016 YW7,Apollo Asteroid (Hazard),57800.0,1.0717,0.449,16.321,80.9757,223.9978,156.5955,0.5905,1.55,1.11,0.0352,10.0,20.5,1966-Nov-13 09:33 ±    00:27,0.03788,0.0377,17.04,17.03,20.5,0.47,1.0,True
1869,2013 KZ1,Apollo Asteroid (Hazard),57800.0,1.5626,0.5066,29.1954,104.7119,236.0455,288.1195,0.771,2.35,1.95,0.0306,22.0,21.5,1966-Nov-18 01:30 ±    00:09,0.04475,0.04465,21.49,21.49,21.5,0.3,1.0,True
1871,2005 UL5,Aten Asteroid (Hazard),57800.0,0.9362,0.5698,14.3177,127.7502,58.915,71.4153,0.4027,1.47,0.91,0.0055,73.0,20.3,1966-Nov-20 20:13 ± < 00:01,0.03314,0.03312,17.69,17.69,20.3,0.51,1.0,True
