Object Name,CA DistanceNominal (au)
2001 PT9,0.02973
2005 VR7,0.04413
2002 LX,0.04274
2001 OY13,0.03859
2006 GB,0.04917
2015 LK24,0.04682
2001 YE4,0.0364
2003 MK4,0.01659
2016 PF8,0.02479
2011 PO1,0.04535
2001 FE90,0.04412
2000 YF29,0.02094
2000 RD53,0.024
2006 SU49,0.02645
2012 PS4,0.04954
2010 LN14,0.04693
2004 KB,0.03965
2012 VF37,0.03877
2010 LE15,0.03387
2002 QQ40,0.03825
2016 QJ44,0.04113
2013 GS66,0.02721
2011 UW158,0.03101
1999 DB7,0.03367
2014 OJ392,0.04339
1999 MN,0.02683
2016 BV14,0.04838
2012 MU2,0.02113
2005 QC5,0.04904
2006 SS134,0.03482
2013 QC11,0.04388
2016 GD135,0.01204
2013 GH84,0.028
2003 HB,0.04842
1998 SY14,0.03668
1998 HH49,0.0344
2012 FO62,0.03473
2007 MK13,0.03642
2013 SW24,0.01321
2005 MO13,0.04956
1998 WT24,0.0091
2008 EL6,0.03916
2015 DR215,0.04441
2012 YQ1,0.01064
1998 SC15,0.03223
2012 TY52,0.02211
2016 EF28,0.04307
2013 GA80,0.03541
2010 BB,0.04357
2001 GR2,0.0169
2008 AZ30,0.0391
2015 MW53,0.04067
2010 JJ41,0.02524
2016 WJ1,0.01153
2002 VE68,0.04028
2007 BD7,0.04371
2015 JA2,0.04556
2008 OX1,0.04885
2009 BE81,0.0331
2002 AC9,0.0456
2004 MP7,0.02981
2011 WL2,0.03406
1997 WQ23,0.02815
2016 EJ56,0.04365
2008 XM1,0.0486
2004 VB,0.04705
2004 TP1,0.0463
2004 TL10,0.04512
2005 AY28,0.03409
2006 AM4,0.02769
2005 JU1,0.02201
2007 AC2,0.04611
2011 AT26,0.01688
2006 UL217,0.03095
2005 TP,0.0441
2010 JE87,0.04596
2011 TX8,0.02222
2000 CE59,0.04505
1993 VD,0.0239
2016 FC13,0.03275
2016 LW9,0.03865
2016 FY3,0.0176
2015 KJ122,0.04178
2010 YB,0.04934
2000 QV7,0.02795
2012 QG42,0.02196
2015 TY237,0.04709
2016 JP,0.03073
2010 CN44,0.03582
2010 FC81,0.04689
2016 NG33,0.04064
2006 XD2,0.02662
2012 VE46,0.04229
2006 CY10,0.03845
2009 HV2,0.03242
2012 YO1,0.04112
2012 GV17,0.00561
2001 SY269,0.02975
2014 WT202,0.04785
2015 SY16,0.04982
2015 XE352,0.03372
1999 TO13,0.03148
2016 XC18,0.04205
2002 JZ8,0.04832
2016 VC1,0.04514
2015 XU378,0.03185
2009 EP2,0.04182
1998 BY7,0.03184
2004 UE,0.02453
2005 GL,0.0291
2011 BN24,0.03975
2010 TH19,0.03539
2015 FV284,0.02088
2003 YL118,0.04237
2014 HK129,0.01717
2013 VY13,0.0474
1997 GD32,0.03314
1998 OX4,0.00648
2008 UW91,0.03322
1999 AQ10,0.01101
2009 VW,0.04458
2016 WG9,0.03495
2003 GG21,0.00872
