,Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
4008,(2014 BU43),Aten Asteroid,57800,0.7415,0.4065,6.7797,341.0814,312.7895,131.0289,0.4401,1.04,0.64,0.0088,5,26.6
4012,(2014 BR57),Apollo Asteroid,57800,1.3578,0.3988,3.8543,237.1676,341.2212,289.7355,0.8163,1.9,1.58,0.0113,30,23.9
4015,(2014 BX57),Apollo Asteroid,57800,1.4564,0.3305,4.726,150.5414,316.955,275.3415,0.9751,1.94,1.76,0.0133,7,26.5
4018,(2014 BM62),Apollo Asteroid,57800,1.6262,0.4372,1.7152,225.7297,306.3075,153.0821,0.9153,2.34,2.07,0.0029,3,25.3
4020,(2014 CE),Apollo Asteroid,57800,1.3701,0.4577,6.0421,281.1275,133.083,354.2388,0.743,2.0,1.6,0.0025,11,26.9
4022,(2014 CR),Apollo Asteroid,57800,2.1428,0.5831,4.0425,60.6455,137.8832,331.7499,0.8932,3.39,3.14,0.021,20,22.5
4023,(2014 CA3),Apollo Asteroid,57800,1.3829,0.2704,9.4836,53.1877,123.0196,287.0591,1.0089,1.76,1.63,0.0815,9,24.2
4026,(2014 CB13),Amor Asteroid,57800,1.8272,0.4363,0.4298,183.3943,332.8559,74.5334,1.03,2.62,2.47,0.0398,3,26.3
4027,(2014 CE13),Aten Asteroid,57800,0.8507,0.5704,5.4457,312.6045,334.9441,210.2594,0.3655,1.34,0.78,0.0077,4,24.0
4032,(2014 CP13),Apollo Asteroid,57800,1.8912,0.4667,4.257,317.6597,226.0667,43.0156,1.0086,2.77,2.6,0.0381,13,23.1
4033,(2014 CQ13),Amor Asteroid,57800,2.805,0.5808,3.3913,32.7054,125.7731,228.3743,1.1758,4.43,4.7,0.1885,15,22.8
4034,(2014 CR13),Apollo Asteroid,57800,1.4847,0.461,7.4575,292.4308,141.6982,265.8326,0.8003,2.17,1.81,0.0026,15,25.7
4035,(2014 CS13),Apollo Asteroid,57800,1.2554,0.3268,0.6133,14.3861,58.5585,90.2785,0.8451,1.67,1.41,0.0087,14,24.0
4037,(2014 DA),Apollo Asteroid,57800,1.5056,0.4848,2.4642,110.1919,313.6621,256.1963,0.7757,2.24,1.85,0.0002,20,22.7
4042,(2014 DH),Aten Asteroid,57800,0.9865,0.3614,1.2384,284.1749,109.2008,95.2442,0.63,1.34,0.98,0.0043,5,26.6
4043,(2014 DQ),Apollo Asteroid,57800,1.2001,0.2374,3.9,296.6142,145.1866,142.712,0.9152,1.49,1.31,0.0132,10,24.7
4044,(2014 DG6),Amor Asteroid,57800,1.5046,0.2559,8.1197,129.6633,359.8432,235.0295,1.1197,1.89,1.85,0.1637,9,23.4
4047,(2014 DF10),Amor Asteroid,57800,2.0086,0.4845,5.6322,344.4564,151.3712,21.9294,1.0354,2.98,2.85,0.053,6,25.4
4049,(2014 DH10),Amor Asteroid,57800,1.7055,0.3748,1.4804,182.1687,340.9664,117.647,1.0663,2.34,2.23,0.0744,12,25.8
4051,(2014 DW17),Apollo Asteroid,57800,1.1355,0.3323,3.6921,279.5492,141.8671,221.8366,0.7581,1.51,1.21,0.0062,7,25.4
4052,(2014 DP21),Apollo Asteroid,57800,2.0969,0.5157,0.8474,134.1685,24.5301,351.566,1.0155,3.18,3.04,0.0268,12,25.8
4053,(2014 DR21),Amor Asteroid,57800,2.0019,0.4786,5.778,173.223,326.1153,23.267,1.0438,2.96,2.83,0.0577,6,25.6
4054,(2014 DU22),Apollo Asteroid,57800,1.8489,0.4864,1.6456,211.4468,357.1248,48.5483,0.9495,2.75,2.51,0.0003,17,25.1
4055,(2014 DE23),Apollo Asteroid,57800,1.3537,0.3597,6.1299,299.3945,155.3143,350.7803,0.8667,1.84,1.57,0.0047,11,24.7
4056,(2014 DF23),Aten Asteroid,57800,0.9114,0.2051,7.3647,314.5591,334.8674,31.4647,0.7245,1.1,0.87,0.0166,7,24.6
4058,(2014 DK23),Apollo Asteroid,57800,1.7145,0.4503,1.4509,317.484,164.094,129.1865,0.9425,2.49,2.25,0.0045,6,27.2
4060,(2014 DM23),Amor Asteroid,57800,1.3664,0.2218,5.9021,190.5509,348.4129,297.8886,1.0633,1.67,1.6,0.07,12,24.6
4061,(2014 DF80),Amor Asteroid,57800,1.5727,0.3255,4.607,348.1177,166.2086,183.6331,1.0608,2.08,1.97,0.0718,10,25.7
4062,(2014 DG80),Apollo Asteroid,57800,1.7709,0.4259,1.6029,0.4925,198.7942,77.8145,1.0168,2.53,2.36,0.0148,13,24.9
4065,(2014 DV110),Aten Asteroid,57800,0.8293,0.2965,1.983,222.218,139.3953,119.3889,0.5834,1.08,0.76,0.0025,9,24.9
4066,(2014 DW110),Amor Asteroid,57800,2.151,0.5087,5.033,14.3796,167.2485,331.5219,1.0567,3.25,3.15,0.0639,17,25.1
4068,(2014 DY110),Amor Asteroid,56718,1.5594,0.3192,6.1928,172.6828,344.0572,2.739,1.0617,2.06,1.95,0.0716,5,25.6
4073,(2014 EM),Apollo Asteroid,57800,1.9813,0.5444,4.1427,227.3405,350.8487,6.1728,0.9026,3.06,2.79,0.0058,14,25.4
4074,(2014 ES3),Apollo Asteroid,57800,1.9426,0.4801,1.1575,326.8483,176.2527,39.5063,1.01,2.88,2.71,0.025,6,26.0
4076,(2014 EF4),Amor Asteroid,57800,1.5598,0.3458,4.5815,85.9609,130.3229,160.4631,1.0204,2.1,1.95,0.0813,9,24.7
4079,(2014 EO12),Apollo Asteroid,56726,1.6449,0.3971,1.2581,83.7765,122.5764,345.2093,0.9917,2.3,2.11,0.0206,4,25.7
4080,(2014 EP12),Apollo Asteroid,57800,2.341,0.5854,6.2195,202.7944,353.2235,289.3773,0.9705,3.71,3.58,0.0029,14,25.8
4083,(2014 EY24),Apollo Asteroid,57800,2.5144,0.5992,3.5005,159.8818,6.3366,265.5849,1.0078,4.02,3.99,0.0213,18,24.1
4088,(2014 EC49),Amor Asteroid,57800,2.4471,0.5589,8.6903,186.9438,12.7815,269.045,1.0794,3.81,3.83,0.0796,13,23.5
4089,(2014 FD),Apollo Asteroid,57800,1.8786,0.4803,6.1979,27.5114,178.5003,38.3677,0.9763,2.78,2.57,0.01,7,25.5
4091,(2014 FF),Amor Asteroid,57800,2.0496,0.5037,9.8803,22.7037,179.3615,350.2458,1.0173,3.08,2.93,0.0387,11,24.2
4092,(2014 FG),Apollo Asteroid,57800,2.1708,0.5374,9.8518,340.2059,175.9747,333.6403,1.0043,3.34,3.2,0.0267,6,25.2
4094,(2014 FZ),Apollo Asteroid,57800,1.3697,0.2653,2.4154,176.1841,18.2861,285.6559,1.0064,1.73,1.6,0.0055,6,27.0
4095,(2014 FX6),Apollo Asteroid,56741,1.7893,0.5105,0.9531,319.964,157.6215,20.7151,0.8759,2.7,2.39,0.0026,6,24.8
4098,(2014 FA7),Apollo Asteroid,57800,1.1195,0.2054,5.9881,289.7221,180.5086,213.4509,0.8896,1.35,1.18,0.0035,6,26.7
4099,(2014 FB7),Apollo Asteroid,57800,2.1016,0.5724,1.0683,124.7666,11.2286,354.3274,0.8987,3.3,3.05,0.004,4,27.5
4100,(2014 FF7),Amor Asteroid,57800,1.9753,0.4379,4.2036,171.2128,11.8269,15.8472,1.1104,2.84,2.78,0.1133,15,24.7
4101,(2014 FS32),Apollo Asteroid,57800,1.0804,0.3476,7.9642,76.6934,2.3416,273.8229,0.7049,1.46,1.12,0.013,6,26.6
4102,(2014 FT32),Amor Asteroid,57800,2.2804,0.535,3.8088,0.1042,171.8878,306.219,1.0603,3.5,3.44,0.0662,7,25.4
4103,(2014 FV32),Apollo Asteroid,57800,1.4384,0.4228,5.5959,167.643,120.9311,189.001,0.8303,2.05,1.73,0.0765,9,22.6
4105,(2014 FX32),Apollo Asteroid,57800,1.7832,0.4818,3.78,320.7069,172.3178,96.2444,0.9241,2.64,2.38,0.0011,22,25.0
4108,(2014 FM33),Apollo Asteroid,57800,1.7687,0.4313,4.3556,154.2853,15.1405,88.7941,1.0059,2.53,2.35,0.0237,5,26.4
4109,(2014 FR37),Apollo Asteroid,57800,1.1853,0.2706,6.0718,81.3299,10.3815,154.3686,0.8646,1.51,1.29,0.0228,12,22.8
4110,(2014 FS37),Amor Asteroid,57800,1.8634,0.4215,5.764,6.8172,184.0478,48.6763,1.078,2.65,2.54,0.0798,15,24.4
4111,(2014 FK38),Aten Asteroid,57800,0.8846,0.2116,4.4097,319.038,7.8955,49.6633,0.6974,1.07,0.83,0.0028,3,25.2
4112,(2014 FL38),Amor Asteroid,57800,1.4938,0.3118,5.083,346.6444,182.0842,217.1489,1.028,1.96,1.83,0.0362,13,23.8
4114,(2014 FN38),Aten Asteroid,57800,0.8235,0.3119,6.625,27.433,9.4936,81.5292,0.5667,1.08,0.75,0.0144,6,26.8
4115,(2014 FO38),Aten Asteroid,57800,0.739,0.4035,9.713,14.4483,10.4244,341.3624,0.4408,1.04,0.64,0.0117,14,26.3
4118,(2014 FZ43),Apollo Asteroid,57800,1.1524,0.2134,8.3003,52.5473,16.9948,208.2808,0.9064,1.4,1.24,0.0174,4,22.6
4121,(2014 FR52),Amor Asteroid,57800,2.0506,0.4911,4.8409,196.7284,29.0706,341.5294,1.0436,3.06,2.94,0.0413,23,23.9
4122,(2014 FS52),Apollo Asteroid,57800,2.0095,0.5859,0.8085,133.612,128.1905,346.3195,0.8322,3.19,2.85,0.0031,13,24.5
4124,(2014 GF1),Amor Asteroid,57800,2.2326,0.5291,7.811,356.8102,192.0792,311.1483,1.0513,3.41,3.34,0.0523,4,26.0
4125,(2014 GG1),Apollo Asteroid,57800,1.4845,0.3446,5.0112,335.94,182.9873,228.3999,0.9729,2.0,1.81,0.0013,5,26.3
4126,(2014 GJ1),Aten Asteroid,57800,0.9423,0.2729,4.9548,40.4191,24.0243,149.4936,0.6852,1.2,0.91,0.0314,9,24.2
4129,(2014 GR1),Apollo Asteroid,56752,1.2938,0.2831,5.8012,89.9216,168.606,323.3553,0.9276,1.66,1.47,0.0588,3,24.0
4133,(2014 GP17),Apollo Asteroid,57800,2.2265,0.5603,3.6028,189.5751,38.2872,302.7862,0.9791,3.47,3.32,0.0118,11,25.2
4134,(2014 GQ17),Aten Asteroid,57800,0.8541,0.2467,0.0914,330.8857,78.9835,354.5485,0.6434,1.06,0.79,0.0001,14,27.1
4137,(2014 GS34),Apollo Asteroid,56754,1.9801,0.4896,6.9967,44.5232,186.9863,349.8033,1.0105,2.95,2.79,0.0566,7,24.3
4138,(2014 GU34),Apollo Asteroid,56754,1.6021,0.3792,5.8061,158.1846,14.5482,10.3435,0.9945,2.21,2.03,0.0112,4,25.6
4147,(2014 GK45),Amor Asteroid,57800,1.6181,0.3489,4.8655,157.9444,29.1102,145.5181,1.0535,2.18,2.06,0.0595,12,26.1
4148,(2014 GQ45),Apollo Asteroid,57800,2.1104,0.5182,6.4556,7.6304,193.8614,334.6529,1.0167,3.2,3.07,0.0179,10,25.5
4149,(2014 GR45),Apollo Asteroid,56758,2.0106,0.5284,2.071,5.7413,130.3486,18.8691,0.9482,3.07,2.85,0.0121,6,23.9
4150,(2014 GS45),Amor Asteroid,57800,2.0267,0.4675,9.5718,4.1883,186.8576,359.3735,1.0792,2.97,2.89,0.0809,8,24.4
4152,(2014 GV48),Amor Asteroid,57800,1.8534,0.4306,3.7246,353.2205,208.5382,46.6572,1.0554,2.65,2.52,0.0527,6,25.8
4154,(2014 GG49),Apollo Asteroid,57800,1.4028,0.4063,4.329,239.9079,35.3839,224.1252,0.8329,1.97,1.66,0.0077,14,25.7
4155,(2014 HL2),Apollo Asteroid,57800,2.0742,0.5498,0.4588,147.7987,111.2267,327.8047,0.9339,3.21,2.99,0.001,5,26.2
4157,(2014 HO2),Apollo Asteroid,57800,1.1925,0.28,0.587,334.4514,156.2908,110.6347,0.8586,1.53,1.3,0.0072,6,26.0
4158,(2014 HP2),Apollo Asteroid,57800,1.5054,0.3426,2.5042,202.4303,35.8514,177.7301,0.9896,2.02,1.85,0.001,5,27.3
4160,(2014 HV2),Apollo Asteroid,57800,2.0439,0.5709,4.2941,229.5747,39.439,333.0836,0.877,3.21,2.92,0.0004,7,25.9
4161,(2014 HX2),Apollo Asteroid,57800,1.8282,0.4643,1.0849,147.9108,31.7093,61.5745,0.9794,2.68,2.47,0.0033,6,27.2
4164,(2014 HK4),Apollo Asteroid,57800,1.2575,0.5014,8.6573,282.0083,38.8582,308.6321,0.627,1.89,1.41,0.0113,7,23.6
4165,(2014 HM4),Apollo Asteroid,57800,1.0987,0.53,1.315,297.9664,30.8293,107.8435,0.5164,1.68,1.15,0.0016,11,26.9
4167,(2014 HQ4),Apollo Asteroid,57800,1.7498,0.5757,6.0564,278.8,210.7046,102.7968,0.7424,2.76,2.31,0.0144,9,26.2
4168,(2014 HS4),Amor Asteroid,57800,1.7779,0.4101,4.9276,350.9759,213.5611,71.0885,1.0488,2.51,2.37,0.0458,4,26.1
4169,(2014 HT4),Amor Asteroid,57800,2.0463,0.4914,5.0593,341.6017,200.6851,355.5608,1.0407,3.05,2.93,0.0478,8,23.7
4171,(2014 HF5),Amor Asteroid,57800,1.8977,0.4508,6.1224,354.0859,217.631,28.4779,1.0423,2.75,2.61,0.037,6,25.3
4173,(2014 HT46),Apollo Asteroid,57800,1.2821,0.2333,1.5685,58.6228,200.1771,310.2849,0.983,1.58,1.45,0.0127,14,26.6
4174,(2014 HV46),Amor Asteroid,57800,2.1251,0.4004,1.4481,92.7012,131.3277,323.4957,1.2742,2.98,3.1,0.267,10,23.2
4175,(2014 HH123),Apollo Asteroid,57800,1.1208,0.2369,8.3869,293.5283,198.937,189.7373,0.8553,1.39,1.19,0.0216,7,24.4
4176,(2014 HZ123),Amor Asteroid,56775,2.352,0.4923,6.8318,351.7922,221.7926,0.9063,1.1941,3.51,3.61,0.1885,10,23.7
4177,(2014 HA124),Amor Asteroid,57800,2.0205,0.4852,2.5976,41.9633,202.315,343.4618,1.0402,3.0,2.87,0.0408,8,26.5
4178,(2014 HB124),Aten Asteroid,57800,0.8434,0.5095,6.5473,168.3312,222.0117,57.9572,0.4137,1.27,0.77,0.0561,11,23.1
4179,(2014 HC124),Apollo Asteroid,56772,1.6432,0.5629,7.2118,260.1265,218.6185,32.8838,0.7183,2.57,2.11,0.0075,11,23.6
4180,(2014 HG124),Amor Asteroid,57800,2.5454,0.5813,4.7869,144.6314,35.6748,257.4102,1.0657,4.02,4.06,0.0814,14,24.3
4181,(2014 HR124),Apollo Asteroid,57800,1.6053,0.467,6.9892,274.4623,26.6933,102.2492,0.8556,2.36,2.03,0.0552,25,22.8
4182,(2014 HS124),Apollo Asteroid,57800,1.3497,0.2938,9.4148,224.3894,32.7208,258.6932,0.9532,1.75,1.57,0.0093,11,22.9
4183,(2014 HM132),Amor Asteroid,57800,1.9463,0.4179,1.4251,67.4053,188.621,357.1039,1.133,2.76,2.72,0.1209,12,25.0
4185,(2014 HO132),Apollo Asteroid,57800,1.833,0.4713,5.348,211.5681,43.0748,34.4823,0.9691,2.7,2.48,0.0041,11,25.7
4186,(2014 HX164),Apollo Asteroid,57800,1.4441,0.3494,3.2399,219.9376,47.498,197.5741,0.9395,1.95,1.74,0.0026,9,27.2
4187,(2014 HZ164),Apollo Asteroid,56778,1.9966,0.5115,3.4061,122.4549,49.9678,13.6845,0.9752,3.02,2.82,0.0323,4,23.8
4188,(2014 HA165),Amor Asteroid,57800,2.4886,0.5898,5.501,71.8693,103.0386,266.8188,1.0208,3.96,3.93,0.0919,7,23.1
4189,(2014 HX176),Amor Asteroid,57800,2.0402,0.4974,2.5373,356.2859,193.1707,355.1238,1.0254,3.05,2.91,0.0262,9,24.5
4190,(2014 HC177),Apollo Asteroid,57800,1.8449,0.4769,7.4061,323.4371,212.5849,57.0179,0.9651,2.72,2.51,0.0148,4,24.7
4191,(2014 HD177),Apollo Asteroid,56779,1.8417,0.5695,2.1612,274.4787,219.5981,27.981,0.7928,2.89,2.5,0.0133,4,22.7
4192,(2014 HE177),Amor Asteroid,57800,1.976,0.466,3.5465,4.0754,218.9815,1.3223,1.0551,2.9,2.78,0.0471,8,25.8
4194,(2014 HN178),Amor Asteroid,57800,1.8884,0.4583,2.3835,305.9918,333.7345,5.9585,1.0229,2.75,2.6,0.0318,15,23.5
4195,(2014 HQ178),Amor Asteroid,57800,1.4421,0.2798,5.8884,102.1062,31.6407,270.3956,1.0386,1.85,1.73,0.1089,4,22.6
4199,(2014 HF184),Amor Asteroid,56776,1.4281,0.2502,5.1135,218.3485,32.5234,341.2823,1.0708,1.79,1.71,0.0758,11,26.9
4201,(2014 HS184),Amor Asteroid,57800,1.9543,0.4704,2.317,170.8551,106.9192,348.7534,1.0351,2.87,2.73,0.0198,23,23.3
4204,(2014 HR190),Amor Asteroid,57800,2.0045,0.4179,2.9183,18.1667,196.6335,356.489,1.1669,2.84,2.84,0.1617,9,26.2
4206,(2014 HT190),Amor Asteroid,56775,2.3462,0.5476,6.6411,211.6569,45.3526,349.6201,1.0614,3.63,3.59,0.0695,5,26.0
4207,(2014 HV190),Amor Asteroid,56776,2.3798,0.505,3.3181,353.311,229.1435,358.8682,1.178,3.58,3.67,0.1697,7,26.1
4208,(2014 HC192),Apollo Asteroid,56775,1.1594,0.216,9.8857,280.2166,34.371,287.0279,0.909,1.41,1.25,0.0426,7,26.8
4212,(2014 HC196),Amor Asteroid,56771,2.4984,0.5692,3.6862,116.7742,47.8079,11.7342,1.0763,3.92,3.95,0.1019,2,25.4
4215,(2014 HF196),Amor Asteroid,56771,1.9999,0.422,6.9761,184.1544,31.5591,359.1034,1.1559,2.84,2.83,0.1499,5,27.0
4217,(2014 HK196),Apollo Asteroid,56772,2.1599,0.5335,2.755,304.4598,214.421,16.0165,1.0076,3.31,3.17,0.0398,2,26.5
4219,(2014 HO196),Amor Asteroid,56771,1.5201,0.2972,6.636,317.4202,204.1123,28.6208,1.0682,1.97,1.87,0.0982,4,25.6
4222,(2014 HR196),Amor Asteroid,56771,2.3569,0.5208,3.3613,181.7361,39.2934,358.0472,1.1294,3.58,3.62,0.1214,2,27.1
4223,(2014 HS196),Apollo Asteroid,56771,1.7409,0.4922,1.0886,91.6343,190.928,335.9686,0.8841,2.6,2.3,0.0114,2,27.5
4224,(2014 HT196),Apollo Asteroid,56771,1.4692,0.4653,9.6236,29.9979,47.6276,89.3246,0.7857,2.15,1.78,0.1016,2,22.7
4225,(2014 HU196),Amor Asteroid,56771,1.935,0.4214,2.9429,22.307,205.9635,354.6484,1.1197,2.75,2.69,0.112,2,27.0
4229,(2014 HZ196),Amor Asteroid,56772,2.9001,0.5535,1.4403,333.3556,227.4679,3.5236,1.295,4.51,4.94,0.2929,5,25.1
4232,(2014 HD197),Amor Asteroid,56771,2.3398,0.5463,0.9668,38.8246,137.615,9.7428,1.0616,3.62,3.58,0.0674,2,26.3
4233,(2014 HE197),Apollo Asteroid,56771,2.1171,0.5779,3.1705,102.3788,185.3751,339.9119,0.8937,3.34,3.08,0.0283,2,25.7
4235,(2014 HH197),Amor Asteroid,56772,1.8752,0.4118,8.5539,337.4549,217.5516,7.3149,1.1031,2.65,2.57,0.1101,5,26.7
4239,(2014 HO197),Amor Asteroid,56772,2.3,0.4899,3.8636,21.5592,226.0928,349.5885,1.1733,3.43,3.49,0.1618,2,26.1
4242,(2014 HR197),Apollo Asteroid,56772,1.5857,0.5855,3.5815,278.4725,31.2501,329.9559,0.6572,2.51,2.0,0.0041,7,27.1
4244,(2014 HV197),Amor Asteroid,56772,1.4042,0.2409,5.5382,34.5193,208.7142,342.6628,1.0659,1.74,1.66,0.0714,2,26.6
4247,(2014 HB198),Amor Asteroid,56772,1.4489,0.2458,4.5724,166.6624,38.2884,5.8965,1.0928,1.81,1.74,0.0897,2,27.4
4251,(2014 HG198),Amor Asteroid,56774,1.789,0.4035,7.6796,200.5176,33.5401,353.3482,1.0671,2.51,2.39,0.0681,3,27.1
4253,(2014 HL198),Apollo Asteroid,56777,1.2876,0.2402,3.7879,293.4043,231.1868,34.5004,0.9783,1.6,1.46,0.0365,2,27.3
4254,(2014 HM198),Apollo Asteroid,56776,1.0562,0.2678,8.2485,79.7905,26.8782,81.1673,0.7733,1.34,1.09,0.0122,2,27.5
4255,(2014 HN198),Apollo Asteroid,56776,1.7772,0.4915,2.5482,216.1542,291.2124,25.1816,0.9038,2.65,2.37,0.0039,4,25.8
4256,(2014 HO198),Amor Asteroid,56776,1.582,0.3556,4.2175,227.2568,23.7576,345.1517,1.0194,2.14,1.99,0.0428,2,26.5
4258,(2014 HQ198),Amor Asteroid,56777,1.8625,0.4256,3.4911,228.3112,16.8712,350.4615,1.0699,2.66,2.54,0.0732,2,25.8
4259,(2014 HS198),Amor Asteroid,56777,1.5144,0.2604,8.3395,160.7239,24.7384,20.1261,1.1201,1.91,1.86,0.1254,2,25.5
4260,(2014 HT198),Amor Asteroid,56776,2.1088,0.4053,8.3987,237.2951,12.6515,348.1907,1.254,2.96,3.06,0.2751,2,23.6
4263,(2014 HW198),Amor Asteroid,56776,2.2775,0.4343,7.5634,195.8571,17.8376,2.3487,1.2885,3.27,3.44,0.2857,2,25.1
4264,(2014 HX198),Apollo Asteroid,56778,1.7104,0.4732,2.0584,265.8994,18.5067,337.1652,0.9011,2.52,2.24,0.0219,2,27.0
4267,(2014 HC199),Apollo Asteroid,57800,1.0918,0.4908,5.1412,111.9507,285.6713,356.948,0.556,1.63,1.14,0.0002,2,22.6
4268,(2014 HD199),Apollo Asteroid,56776,2.0527,0.5555,5.1356,269.7482,237.1606,21.8725,0.9124,3.19,2.94,0.0668,4,24.6
4272,(2014 HJ199),Apollo Asteroid,56778,1.6228,0.5216,7.5489,258.515,231.6817,33.0229,0.7763,2.47,2.07,0.0223,5,26.1
4274,(2014 HL199),Apollo Asteroid,56778,1.0038,0.2144,5.3984,338.4802,26.7413,231.9915,0.7886,1.22,1.01,0.0746,2,26.8
4275,(2014 HM199),Amor Asteroid,56780,2.0375,0.4079,4.5788,174.2404,14.9569,14.6247,1.2064,2.87,2.91,0.2071,2,23.9
4278,(2014 JD),Apollo Asteroid,57800,2.1789,0.5597,1.8524,199.9495,63.2039,302.4196,0.9593,3.4,3.22,0.0061,8,26.3
4281,(2014 JE15),Amor Asteroid,57800,2.2941,0.5167,1.3487,273.3784,337.2865,281.5101,1.1088,3.48,3.47,0.0982,9,25.1
4283,(2014 JG15),Apollo Asteroid,57800,1.2113,0.2402,9.8785,284.6516,221.4624,85.323,0.9203,1.5,1.33,0.0442,6,25.7
4285,(2014 JU15),Aten Asteroid,57800,0.7262,0.4663,9.1074,20.1821,38.6437,322.8749,0.3876,1.06,0.62,0.0018,8,24.8
4286,(2014 JO24),Amor Asteroid,56786,2.2816,0.5424,7.3758,143.2498,52.7181,7.9796,1.0441,3.52,3.45,0.0708,9,24.5
4287,(2014 JU24),Amor Asteroid,57800,1.5212,0.2365,7.159,26.8494,238.9024,150.4955,1.1614,1.88,1.88,0.1552,13,24.2
4291,(2014 JN25),Amor Asteroid,56782,1.3109,0.2232,5.7018,46.8444,221.0689,332.3128,1.0183,1.6,1.5,0.0435,3,26.5
4293,(2014 JS25),Apollo Asteroid,56785,2.001,0.4946,3.5146,27.7749,221.0372,353.7048,1.0113,2.99,2.83,0.0181,3,26.5
4294,(2014 JY30),Apollo Asteroid,57800,1.3254,0.4058,1.7422,59.7908,86.9239,333.4313,0.7875,1.86,1.53,0.0064,5,25.4
4301,(2014 JQ79),Apollo Asteroid,56780,1.5714,0.3693,6.4331,141.817,34.5088,20.6502,0.9911,2.15,1.97,0.0285,2,26.0
4304,(2014 JT79),Apollo Asteroid,56781,1.5964,0.4821,1.4343,250.214,253.8014,30.9518,0.8268,2.37,2.02,0.0045,6,26.5
4305,(2014 JU79),Apollo Asteroid,56783,1.3318,0.2559,7.2205,90.7864,9.4742,104.3025,0.991,1.67,1.54,0.1104,4,23.3
4307,(2014 JW79),Apollo Asteroid,56783,1.1038,0.3697,5.2566,290.8435,40.3542,297.6947,0.6958,1.51,1.16,0.0189,2,26.6
4308,(2014 KD),Apollo Asteroid,57800,2.1518,0.5461,5.2385,39.4312,226.4485,306.4761,0.9767,3.33,3.16,0.0197,8,24.4
4309,(2014 KP2),Apollo Asteroid,57800,1.2781,0.2502,6.6377,121.232,61.2856,358.9011,0.9582,1.6,1.44,0.0273,3,26.7
4310,(2014 KN4),Amor Asteroid,57800,2.2489,0.5011,2.4058,35.7227,239.7874,282.0207,1.1221,3.38,3.37,0.1091,11,24.3
4311,(2014 KO4),Apollo Asteroid,56799,1.5143,0.56,3.047,274.4891,235.3057,29.5584,0.6663,2.36,1.86,0.0015,3,27.3
4312,(2014 KX21),Amor Asteroid,56801,2.1735,0.5092,4.4906,162.2827,70.9339,2.4682,1.0667,3.28,3.2,0.0591,5,25.5
4313,(2014 KE22),Amor Asteroid,56799,2.5221,0.5723,2.1973,177.2666,58.9288,1.1325,1.0788,3.97,4.01,0.0674,3,25.3
4314,(2014 KF22),Apollo Asteroid,57800,1.4974,0.4207,4.9482,237.264,68.0816,150.6558,0.8674,2.13,1.83,0.0026,7,26.4
4316,(2014 KM22),Amor Asteroid,57800,1.6045,0.3391,2.5003,12.7924,235.9855,121.8342,1.0605,2.15,2.03,0.0481,5,26.5
4317,(2014 KB39),Amor Asteroid,56801,2.1009,0.5018,2.7916,317.9757,252.4177,9.0393,1.0467,3.16,3.05,0.0515,4,25.1
4318,(2014 KC39),Amor Asteroid,57800,2.3703,0.4888,6.0426,19.7437,217.9191,271.6022,1.2117,3.53,3.65,0.204,6,23.3
4319,(2014 KD39),Amor Asteroid,57800,2.1037,0.4575,9.3378,196.783,84.5011,309.299,1.1412,3.07,3.05,0.1313,11,23.5
4322,(2014 KG39),Aten Asteroid,57800,0.9022,0.3587,3.471,150.7624,236.7893,313.5304,0.5786,1.23,0.86,0.0226,5,24.9
4323,(2014 KH39),Apollo Asteroid,57800,2.3428,0.5928,5.4517,210.9809,74.616,264.7334,0.954,3.73,3.59,0.0028,21,26.2
4325,(2014 KO39),Amor Asteroid,57800,2.1255,0.4351,2.3886,215.3005,22.3134,318.1645,1.2007,3.05,3.1,0.1911,8,23.4
4326,(2014 KA46),Amor Asteroid,57800,2.0458,0.483,8.5726,194.5401,82.868,325.8769,1.0576,3.03,2.93,0.0485,8,24.4
4327,(2014 KB46),Amor Asteroid,57800,2.0433,0.4855,7.4023,356.7633,244.7482,336.5478,1.0513,3.04,2.92,0.039,10,24.8
4334,(2014 KP76),Amor Asteroid,57800,2.1686,0.4799,8.6353,10.8954,240.4551,303.4447,1.128,3.21,3.19,0.1172,10,23.2
4335,(2014 KS76),Aten Asteroid,57800,0.9277,0.2702,1.0968,51.7556,62.0943,121.3219,0.6771,1.18,0.89,0.0015,16,26.6
4336,(2014 KX76),Amor Asteroid,57800,1.3054,0.2172,9.9184,155.2208,63.3445,316.336,1.0219,1.59,1.49,0.0248,9,24.3
4337,(2014 KO84),Amor Asteroid,57800,2.0419,0.4164,4.6121,50.4744,197.1541,335.7694,1.1917,2.89,2.92,0.1908,7,23.5
4338,(2014 KQ84),Amor Asteroid,57800,1.4028,0.2611,0.9355,357.3909,253.5866,227.1741,1.0366,1.77,1.66,0.0226,9,26.7
4339,(2014 KW86),Amor Asteroid,57800,2.1693,0.4197,6.5558,22.7918,224.2409,306.4787,1.2588,3.08,3.2,0.2504,6,23.7
4342,(2014 KA91),Apollo Asteroid,57800,1.257,0.2779,9.2232,67.5911,249.0406,292.7205,0.9077,1.61,1.41,0.0198,9,25.5
